Transaction_ID,Date,Year,Month,Region,Province,Category,Item_Name,Channel,Quantity,Unit_Price_PHP,Target_Revenue_PHP,Actual_Revenue_PHP,Total_Cost_PHP,Net_Profit_PHP,Status,Satisfaction_Score
EXP-30017,2025-10-25,2025,Oct,Region III,Abra,Agricultural Machinery,Solar Irrigation Systems,Direct DA Grant,50,311234.22,15561711.0,15561711.0,10229995.21,5331715.79,Under Review,4
EXP-30018,2025-01-09,2025,Jan,Region III,Ifugao,Agricultural Machinery,Combine Harvesters,Farmer Association,5,1925955.68,9629778.4,8666800.56,6687066.02,1979734.54,In Transit,4
EXP-30019,2025-08-15,2025,Aug,CAR,Mountain Province,Fertilizers & Soil Health,Organic Fertilizer (50kg),Direct DA Grant,1,698.58,698.58,698.58,503.48,195.1,Completed,4
EXP-30020,2026-02-02,2026,Feb,CAR,Ifugao,Fertilizers & Soil Health,Soil Conditioner Granules,LGU Co-op Procurement,3,756.53,2269.59,2156.11,1439.79,716.32,Completed,5
EXP-30021,2025-02-07,2025,Feb,CAR,Ifugao,Post-Harvest Facilities,Hermetic Storage Cocoons,Direct DA Grant,2,41761.4,83522.8,79346.66,56382.16,22964.5,Completed,4
EXP-30022,2026-05-31,2026,May,CAR,Mountain Province,Agricultural Machinery,Four-Wheel Tractors,Direct DA Grant,50,830522.64,41526132.0,41526132.0,27469672.32,14056459.68,Under Review,5
EXP-30023,2025-10-29,2025,Oct,CAR,Abra,Post-Harvest Facilities,Hermetic Storage Cocoons,Farmer Association,1,44409.95,44409.95,44409.95,28511.21,15898.74,Completed,5
EXP-30024,2026-07-20,2026,Jul,CAR,Benguet,High-Value Crops & Seeds,Fruit Tree Saplings Batch,LGU Co-op Procurement,1,919.71,919.71,873.72,593.17,280.55,Delivered,4
EXP-30025,2025-09-03,2025,Sep,CAR,Ifugao,Fertilizers & Soil Health,Organic Fertilizer (50kg),Direct DA Grant,2,533.43,1066.86,1066.86,783.64,283.22,Delivered,5
EXP-30026,2026-05-27,2026,May,CAR,Mountain Province,Fertilizers & Soil Health,Inorganic NPK Blend,LGU Co-op Procurement,1,2079.01,2079.01,2079.01,1290.39,788.62,Completed,5
EXP-30027,2025-11-10,2025,Nov,CAR,Abra,Post-Harvest Facilities,Multi-Crop Dryer Unit,Farmer Association,5,468674.09,2343370.45,2343370.45,1471527.24,871843.21,Completed,4
EXP-30028,2025-07-15,2025,Jul,CAR,Kalinga,High-Value Crops & Seeds,Fruit Tree Saplings Batch,LGU Co-op Procurement,2,1703.3,3406.6,3236.27,2458.72,777.55,Completed,4
EXP-30029,2025-02-27,2025,Feb,CAR,Abra,Agricultural Machinery,Power Tillers,Direct DA Grant,1,74746.69,74746.69,74746.69,56169.89,18576.8,Completed,5
EXP-30030,2025-04-28,2025,Apr,CAR,Kalinga,High-Value Crops & Seeds,Fruit Tree Saplings Batch,Commercial Agri-Dealer,2,2388.84,4777.68,4777.68,3557.29,1220.39,Completed,4
EXP-30031,2026-03-11,2026,Mar,CAR,Mountain Province,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,Farmer Association,1,2081.2,2081.2,2081.2,1391.3,689.9,Completed,4
EXP-30032,2025-12-07,2025,Dec,Region II,Ifugao,Fertilizers & Soil Health,Organic Fertilizer (50kg),LGU Co-op Procurement,2,609.1,1218.2,1218.2,985.29,232.91,Delivered,5
EXP-30033,2025-11-21,2025,Nov,CAR,Benguet,High-Value Crops & Seeds,Fruit Tree Saplings Batch,Farmer Association,2,919.97,1839.94,1839.94,1341.08,498.86,Completed,4
EXP-30034,2026-03-03,2026,Mar,Region I,Ifugao,Post-Harvest Facilities,Hermetic Storage Cocoons,Direct DA Grant,3,39612.81,118838.43,118838.43,78465.62,40372.81,Completed,4
EXP-30035,2025-03-31,2025,Mar,CAR,Apayao,Fertilizers & Soil Health,Inorganic NPK Blend,Direct DA Grant,1,1849.78,1849.78,1849.78,1311.73,538.05,Under Review,5
EXP-30036,2025-10-04,2025,Oct,CAR,Ifugao,Post-Harvest Facilities,Rice Mill Processing Line,Commercial Agri-Dealer,3,1018567.57,3055702.71,2902917.57,2374328.59,528588.98,Completed,3
EXP-30037,2025-02-06,2025,Feb,CAR,Ifugao,Agricultural Machinery,Power Tillers,LGU Co-op Procurement,1,119192.7,119192.7,119192.7,85526.97,33665.73,Completed,5
EXP-30038,2026-01-31,2026,Jan,CAR,Benguet,Post-Harvest Facilities,Hermetic Storage Cocoons,Farmer Association,1,17738.6,17738.6,15077.81,12199.96,2877.85,Completed,5
EXP-30039,2025-01-25,2025,Jan,CAR,Apayao,Fertilizers & Soil Health,Organic Fertilizer (50kg),LGU Co-op Procurement,3,738.57,2215.71,2104.92,1305.19,799.73,Completed,5
EXP-30040,2025-08-03,2025,Aug,CAR,Kalinga,Fertilizers & Soil Health,Bio-Inoculant Strains,LGU Co-op Procurement,1,352.68,352.68,335.05,246.6,88.45,Delivered,5
EXP-30041,2025-07-13,2025,Jul,CAR,Abra,Agricultural Machinery,Power Tillers,Direct DA Grant,2,78658.25,157316.5,141584.85,112372.95,29211.9,Completed,5
EXP-30042,2025-09-09,2025,Sep,CAR,Mountain Province,Agricultural Machinery,Power Tillers,Direct DA Grant,3,90239.01,270717.03,270717.03,182099.31,88617.72,Completed,4
EXP-30043,2026-04-21,2026,Apr,CAR,Ifugao,High-Value Crops & Seeds,Vegetable Seed Packs,Farmer Association,3,607.07,1821.21,1821.21,1478.24,342.97,Completed,5
EXP-30044,2025-02-27,2025,Feb,CAR,Kalinga,Agricultural Machinery,Power Tillers,Commercial Agri-Dealer,5,63452.79,317263.95,317263.95,259665.4,57598.55,Pending Approval,5
EXP-30045,2025-08-21,2025,Aug,CAR,Ifugao,Agricultural Machinery,Four-Wheel Tractors,Farmer Association,2,1239290.66,2478581.32,2230723.19,1360737.14,869986.05,In Transit,5
EXP-30046,2026-01-08,2026,Jan,CAR,Kalinga,Agricultural Machinery,Solar Irrigation Systems,Farmer Association,1,476396.93,476396.93,476396.93,313710.4,162686.53,Completed,5
EXP-30047,2025-07-20,2025,Jul,CAR,Mountain Province,Fertilizers & Soil Health,Soil Conditioner Granules,Farmer Association,1,921.95,921.95,921.95,568.63,353.32,Completed,3
EXP-30048,2025-01-10,2025,Jan,CAR,Apayao,Post-Harvest Facilities,Cold Storage Module,Direct DA Grant,1,2192858.17,2192858.17,2192858.17,1690852.64,502005.53,Completed,4
EXP-30049,2025-08-05,2025,Aug,Region I,Kalinga,Post-Harvest Facilities,Hermetic Storage Cocoons,Farmer Association,1,32072.44,32072.44,32072.44,20187.92,11884.52,In Transit,1
EXP-30050,2026-03-13,2026,Mar,CAR,Mountain Province,Fertilizers & Soil Health,Organic Fertilizer (50kg),Direct DA Grant,5,825.14,4125.7,4125.7,2884.36,1241.34,Delivered,5
EXP-30051,2026-05-03,2026,May,CAR,Benguet,High-Value Crops & Seeds,Fruit Tree Saplings Batch,Farmer Association,1,1256.74,1256.74,1256.74,885.71,371.03,In Transit,2
EXP-30052,2026-02-05,2026,Feb,CAR,Ifugao,Agricultural Machinery,Power Tillers,LGU Co-op Procurement,3,109624.76,328874.28,328874.28,207191.36,121682.92,Completed,5
EXP-30053,2026-03-11,2026,Mar,CAR,Apayao,Post-Harvest Facilities,Rice Mill Processing Line,Direct DA Grant,2,1370073.99,2740147.98,2466133.18,1641337.6,824795.58,Delivered,5
EXP-30054,2026-02-05,2026,Feb,CAR,Mountain Province,Fertilizers & Soil Health,Soil Conditioner Granules,Farmer Association,1,546.37,546.37,519.05,351.1,167.95,Completed,5
EXP-30055,2025-07-02,2025,Jul,CAR,Benguet,Fertilizers & Soil Health,Bio-Inoculant Strains,Commercial Agri-Dealer,2,362.47,724.94,724.94,490.09,234.85,Delivered,5
EXP-30056,2025-02-20,2025,Feb,CAR,Kalinga,Agricultural Machinery,Power Tillers,LGU Co-op Procurement,1,87606.61,87606.61,87606.61,63139.61,24467.0,In Transit,5
EXP-30057,2025-03-14,2025,Mar,CAR,Abra,Agricultural Machinery,Four-Wheel Tractors,Direct DA Grant,2,1281449.3,2562898.6,2562898.6,1750467.21,812431.39,Completed,4
EXP-30058,2025-10-30,2025,Oct,Region III,Apayao,Fertilizers & Soil Health,Inorganic NPK Blend,Commercial Agri-Dealer,3,1359.73,4079.19,4079.19,3094.12,985.07,Delivered,3
EXP-30059,2025-12-29,2025,Dec,CAR,Kalinga,Fertilizers & Soil Health,Organic Fertilizer (50kg),Commercial Agri-Dealer,1,790.25,790.25,790.25,492.38,297.87,Completed,5
EXP-30060,2026-04-19,2026,Apr,CAR,Kalinga,Fertilizers & Soil Health,Organic Fertilizer (50kg),Farmer Association,2,800.74,1601.48,1521.41,1176.99,344.42,Completed,4
EXP-30061,2026-01-04,2026,Jan,CAR,Benguet,Fertilizers & Soil Health,Inorganic NPK Blend,Direct DA Grant,1,1412.15,1412.15,1341.54,973.38,368.16,Under Review,5
EXP-30062,2025-10-04,2025,Oct,Region II,Abra,Agricultural Machinery,Solar Irrigation Systems,Commercial Agri-Dealer,1,547786.13,547786.13,520396.82,318609.71,201787.11,Completed,1
EXP-30063,2025-08-11,2025,Aug,CAR,Mountain Province,Post-Harvest Facilities,Rice Mill Processing Line,Direct DA Grant,5,1770996.91,8854984.55,8412235.32,5524639.83,2887595.49,Delivered,5
EXP-30064,2025-01-26,2025,Jan,CAR,Ifugao,Agricultural Machinery,Solar Irrigation Systems,Commercial Agri-Dealer,20,321777.15,6435543.0,6113765.85,3936602.01,2177163.84,Delivered,4
EXP-30065,2026-07-04,2026,Jul,CAR,Apayao,Fertilizers & Soil Health,Bio-Inoculant Strains,LGU Co-op Procurement,1,719.41,719.41,719.41,490.08,229.33,Pending Approval,5
EXP-30066,2025-11-17,2025,Nov,CAR,Mountain Province,Agricultural Machinery,Four-Wheel Tractors,LGU Co-op Procurement,2,1332159.5,2664319.0,2664319.0,1839992.03,824326.97,Delivered,5
EXP-30067,2026-01-11,2026,Jan,CAR,Kalinga,Post-Harvest Facilities,Cold Storage Module,Direct DA Grant,1,1526219.52,1526219.52,1449908.54,1053190.49,396718.05,Completed,5
EXP-30068,2025-06-14,2025,Jun,CAR,Apayao,High-Value Crops & Seeds,Vegetable Seed Packs,Commercial Agri-Dealer,10,598.57,5985.7,5985.7,4366.13,1619.57,Delivered,3
EXP-30069,2026-02-26,2026,Feb,Region III,Mountain Province,Fertilizers & Soil Health,Bio-Inoculant Strains,Commercial Agri-Dealer,1,526.22,526.22,473.6,324.16,149.44,Completed,5
EXP-30070,2026-01-26,2026,Jan,CAR,Benguet,High-Value Crops & Seeds,High-Yield Corn Seeds,LGU Co-op Procurement,3,2078.54,6235.62,5923.84,4249.53,1674.31,Delivered,4
EXP-30071,2026-02-15,2026,Feb,CAR,Mountain Province,High-Value Crops & Seeds,High-Yield Corn Seeds,Commercial Agri-Dealer,3,2209.09,6627.27,6627.27,5076.62,1550.65,Completed,5
EXP-30072,2025-01-15,2025,Jan,CAR,Benguet,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,Farmer Association,2,2326.81,4653.62,4420.94,2664.43,1756.51,Delivered,4
EXP-30073,2025-01-11,2025,Jan,CAR,Ifugao,Post-Harvest Facilities,Rice Mill Processing Line,Farmer Association,2,1404222.21,2808444.42,2808444.42,2270353.03,538091.39,Completed,4
EXP-30074,2026-04-05,2026,Apr,Region II,Apayao,Agricultural Machinery,Solar Irrigation Systems,Direct DA Grant,1,526529.62,526529.62,500203.14,384993.49,115209.65,Completed,4
EXP-30075,2026-02-11,2026,Feb,CAR,Mountain Province,Agricultural Machinery,Power Tillers,Farmer Association,5,138787.3,693936.5,693936.5,556943.17,136993.33,Delivered,5
EXP-30076,2025-11-05,2025,Nov,CAR,Apayao,Fertilizers & Soil Health,Soil Conditioner Granules,LGU Co-op Procurement,2,1051.45,2102.9,2102.9,1453.51,649.39,Completed,5
EXP-30077,2025-12-13,2025,Dec,CAR,Ifugao,Fertilizers & Soil Health,Bio-Inoculant Strains,Farmer Association,10,314.78,3147.8,3147.8,2288.7,859.1,Completed,4
EXP-30078,2025-06-05,2025,Jun,CAR,Ifugao,Agricultural Machinery,Four-Wheel Tractors,Farmer Association,20,924625.18,18492503.6,18492503.6,12782338.54,5710165.06,Completed,4
EXP-30079,2025-05-21,2025,May,CAR,Kalinga,Fertilizers & Soil Health,Bio-Inoculant Strains,Farmer Association,5,394.46,1972.3,1972.3,1266.12,706.18,Completed,5
EXP-30080,2026-01-06,2026,Jan,CAR,Ifugao,Fertilizers & Soil Health,Inorganic NPK Blend,Direct DA Grant,2,1687.9,3375.8,3375.8,2593.89,781.91,Completed,4
EXP-30081,2026-04-03,2026,Apr,CAR,Kalinga,Post-Harvest Facilities,Cold Storage Module,Direct DA Grant,1,1935721.51,1935721.51,1935721.51,1466335.93,469385.58,Completed,5
EXP-30082,2026-03-19,2026,Mar,CAR,Apayao,Fertilizers & Soil Health,Soil Conditioner Granules,Farmer Association,3,572.88,1718.64,1718.64,1277.99,440.65,Delivered,3
EXP-30083,2026-05-06,2026,May,Region II,Apayao,Post-Harvest Facilities,Rice Mill Processing Line,Direct DA Grant,1,1484680.88,1484680.88,1484680.88,1183578.51,301102.37,Completed,5
EXP-30084,2026-07-02,2026,Jul,CAR,Apayao,High-Value Crops & Seeds,High-Yield Corn Seeds,Commercial Agri-Dealer,5,3585.34,17926.7,17926.7,11779.15,6147.55,Completed,4
EXP-30085,2025-09-13,2025,Sep,CAR,Abra,Fertilizers & Soil Health,Inorganic NPK Blend,Farmer Association,1,2047.17,2047.17,1740.09,1342.56,397.53,Pending Approval,5
EXP-30086,2025-04-25,2025,Apr,CAR,Benguet,Fertilizers & Soil Health,Organic Fertilizer (50kg),LGU Co-op Procurement,2,643.74,1287.48,1287.48,811.96,475.52,Completed,5
EXP-30087,2025-03-16,2025,Mar,CAR,Abra,High-Value Crops & Seeds,Fruit Tree Saplings Batch,Farmer Association,2,1000.18,2000.36,2000.36,1444.1,556.26,Completed,5
EXP-30088,2025-01-27,2025,Jan,CAR,Apayao,Post-Harvest Facilities,Cold Storage Module,LGU Co-op Procurement,1,2517932.24,2517932.24,2392035.63,1695331.92,696703.71,Completed,4
EXP-30089,2026-07-12,2026,Jul,CAR,Kalinga,Agricultural Machinery,Solar Irrigation Systems,Farmer Association,1,585519.51,585519.51,585519.51,450625.71,134893.8,Completed,3
EXP-30090,2025-07-06,2025,Jul,CAR,Abra,Agricultural Machinery,Combine Harvesters,Commercial Agri-Dealer,1,2149306.8,2149306.8,1826910.78,1150406.23,676504.55,Completed,4
EXP-30091,2026-05-06,2026,May,CAR,Abra,High-Value Crops & Seeds,Vegetable Seed Packs,Direct DA Grant,1,578.26,578.26,549.35,342.49,206.86,Completed,4
EXP-30092,2025-02-11,2025,Feb,CAR,Apayao,Fertilizers & Soil Health,Bio-Inoculant Strains,Farmer Association,3,668.6,2005.8,1905.51,1257.39,648.12,In Transit,2
EXP-30093,2025-01-17,2025,Jan,CAR,Kalinga,Post-Harvest Facilities,Hermetic Storage Cocoons,Direct DA Grant,1,30639.02,30639.02,26043.17,19971.11,6072.06,Delivered,4
EXP-30094,2026-06-21,2026,Jun,CAR,Apayao,Post-Harvest Facilities,Rice Mill Processing Line,Direct DA Grant,50,1060148.97,53007448.5,47706703.65,29037825.3,18668878.35,Completed,4
EXP-30095,2025-09-07,2025,Sep,CAR,Kalinga,Fertilizers & Soil Health,Bio-Inoculant Strains,LGU Co-op Procurement,1,613.84,613.84,552.46,449.5,102.96,Completed,5
EXP-30096,2026-03-19,2026,Mar,CAR,Benguet,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,Farmer Association,1,2605.28,2605.28,2605.28,1838.89,766.39,Completed,5
EXP-30097,2025-02-08,2025,Feb,CAR,Kalinga,Fertilizers & Soil Health,Organic Fertilizer (50kg),LGU Co-op Procurement,3,642.28,1926.84,1830.5,1307.78,522.72,Completed,5
EXP-30098,2026-06-30,2026,Jun,CAR,Ifugao,Agricultural Machinery,Power Tillers,Direct DA Grant,10,102314.97,1023149.7,971992.21,796591.85,175400.36,Completed,5
EXP-30099,2025-09-29,2025,Sep,CAR,Abra,Post-Harvest Facilities,Hermetic Storage Cocoons,Commercial Agri-Dealer,1,26948.62,26948.62,26948.62,19267.03,7681.59,Completed,5
EXP-30100,2025-11-20,2025,Nov,CAR,Abra,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,Farmer Association,1,1571.56,1571.56,1335.83,927.21,408.62,Completed,3
EXP-30101,2025-03-02,2025,Mar,CAR,Kalinga,Agricultural Machinery,Solar Irrigation Systems,Commercial Agri-Dealer,5,396153.27,1980766.35,1782689.72,1252924.84,529764.88,Pending Approval,5
EXP-30102,2025-11-06,2025,Nov,CAR,Apayao,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,LGU Co-op Procurement,1,1704.58,1704.58,1704.58,1036.52,668.06,In Transit,4
EXP-30103,2026-06-05,2026,Jun,CAR,Abra,Post-Harvest Facilities,Cold Storage Module,Farmer Association,1,2145056.7,2145056.7,2145056.7,1518830.98,626225.72,Completed,4
EXP-30104,2025-03-30,2025,Mar,CAR,Kalinga,Fertilizers & Soil Health,Inorganic NPK Blend,Direct DA Grant,2,2046.14,4092.28,4092.28,2701.11,1391.17,In Transit,5
EXP-30105,2026-04-08,2026,Apr,CAR,Benguet,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,LGU Co-op Procurement,1,2749.86,2749.86,2749.86,1652.99,1096.87,Completed,2
EXP-30106,2025-04-24,2025,Apr,CAR,Benguet,Fertilizers & Soil Health,Soil Conditioner Granules,Direct DA Grant,10,861.26,8612.6,8612.6,6422.11,2190.49,In Transit,4
EXP-30107,2025-06-17,2025,Jun,Region II,Apayao,Agricultural Machinery,Combine Harvesters,LGU Co-op Procurement,3,2067294.2,6201882.6,5891788.47,4439131.03,1452657.44,Completed,3
EXP-30108,2026-07-11,2026,Jul,CAR,Apayao,Post-Harvest Facilities,Hermetic Storage Cocoons,LGU Co-op Procurement,1,41372.14,41372.14,39303.53,25558.99,13744.54,Delivered,5
EXP-30109,2025-08-12,2025,Aug,CAR,Kalinga,Agricultural Machinery,Combine Harvesters,LGU Co-op Procurement,2,2181186.18,4362372.36,4362372.36,3225892.59,1136479.77,Completed,5
EXP-30110,2025-08-21,2025,Aug,CAR,Ifugao,Post-Harvest Facilities,Hermetic Storage Cocoons,LGU Co-op Procurement,1,26764.54,26764.54,25426.31,19668.21,5758.1,Under Review,5
EXP-30111,2026-06-08,2026,Jun,CAR,Mountain Province,Agricultural Machinery,Rice Transplanters,Direct DA Grant,1,244714.78,244714.78,244714.78,192720.53,51994.25,Completed,4
EXP-30112,2026-01-16,2026,Jan,Region I,Apayao,Fertilizers & Soil Health,Organic Fertilizer (50kg),LGU Co-op Procurement,1,409.96,409.96,409.96,315.46,94.5,Completed,3
EXP-30113,2025-04-09,2025,Apr,CAR,Mountain Province,Fertilizers & Soil Health,Bio-Inoculant Strains,Commercial Agri-Dealer,5,537.16,2685.8,2685.8,2107.78,578.02,Completed,2
EXP-30114,2026-03-16,2026,Mar,CAR,Kalinga,Fertilizers & Soil Health,Organic Fertilizer (50kg),Direct DA Grant,5,809.29,4046.45,3439.48,2638.84,800.64,Completed,4
EXP-30115,2025-06-11,2025,Jun,CAR,Ifugao,Agricultural Machinery,Four-Wheel Tractors,Direct DA Grant,1,1256166.78,1256166.78,1130550.1,796027.31,334522.79,Completed,5
EXP-30116,2025-01-27,2025,Jan,CAR,Apayao,High-Value Crops & Seeds,Fruit Tree Saplings Batch,LGU Co-op Procurement,3,830.37,2491.11,2491.11,1994.39,496.72,Completed,5
EXP-30117,2026-03-31,2026,Mar,CAR,Mountain Province,Agricultural Machinery,Solar Irrigation Systems,Direct DA Grant,2,336638.98,673277.96,673277.96,427788.43,245489.53,Completed,5
EXP-30118,2025-03-05,2025,Mar,CAR,Mountain Province,Fertilizers & Soil Health,Soil Conditioner Granules,Direct DA Grant,3,825.22,2475.66,2475.66,2016.26,459.4,Delivered,2
EXP-30119,2026-03-01,2026,Mar,CAR,Mountain Province,Agricultural Machinery,Combine Harvesters,Farmer Association,1,1304930.18,1304930.18,1109190.65,700286.43,408904.22,Completed,4
EXP-30120,2025-08-30,2025,Aug,CAR,Apayao,Fertilizers & Soil Health,Inorganic NPK Blend,LGU Co-op Procurement,5,1687.67,8438.35,8438.35,6593.67,1844.68,Pending Approval,5
EXP-30121,2025-05-02,2025,May,Region I,Benguet,High-Value Crops & Seeds,High-Yield Corn Seeds,Direct DA Grant,3,1882.37,5647.11,4800.04,3011.2,1788.84,Completed,5
EXP-30122,2026-01-05,2026,Jan,CAR,Benguet,Post-Harvest Facilities,Rice Mill Processing Line,Farmer Association,5,1528382.59,7641912.95,7641912.95,5955048.74,1686864.21,Completed,4
EXP-30123,2026-05-30,2026,May,CAR,Kalinga,Agricultural Machinery,Solar Irrigation Systems,Commercial Agri-Dealer,1,506056.33,506056.33,506056.33,331144.39,174911.94,Completed,2
EXP-30124,2025-12-22,2025,Dec,CAR,Apayao,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,Direct DA Grant,3,2842.49,8527.47,8527.47,6158.37,2369.1,Pending Approval,2
EXP-30125,2025-02-04,2025,Feb,CAR,Ifugao,Agricultural Machinery,Four-Wheel Tractors,Farmer Association,1,1388316.68,1388316.68,1180069.18,816017.39,364051.79,Completed,1
EXP-30126,2025-06-01,2025,Jun,CAR,Apayao,Fertilizers & Soil Health,Bio-Inoculant Strains,Farmer Association,2,560.4,1120.8,1064.76,752.86,311.9,Completed,5
EXP-30127,2026-01-06,2026,Jan,CAR,Benguet,Agricultural Machinery,Power Tillers,Farmer Association,2,76852.98,153705.96,146020.66,111163.32,34857.34,Under Review,5
EXP-30128,2026-06-10,2026,Jun,CAR,Kalinga,Post-Harvest Facilities,Hermetic Storage Cocoons,Farmer Association,1,27390.94,27390.94,27390.94,17021.46,10369.48,Completed,4
EXP-30129,2025-05-25,2025,May,CAR,Ifugao,Fertilizers & Soil Health,Organic Fertilizer (50kg),Commercial Agri-Dealer,5,579.57,2897.85,2897.85,2113.84,784.01,Completed,5
EXP-30130,2025-09-27,2025,Sep,CAR,Benguet,Fertilizers & Soil Health,Organic Fertilizer (50kg),Direct DA Grant,5,551.65,2758.25,2758.25,1805.87,952.38,Completed,5
EXP-30131,2025-05-01,2025,May,CAR,Ifugao,High-Value Crops & Seeds,Vegetable Seed Packs,LGU Co-op Procurement,2,615.09,1230.18,1168.67,908.35,260.32,Completed,5
EXP-30132,2025-11-30,2025,Nov,CAR,Kalinga,Agricultural Machinery,Power Tillers,Direct DA Grant,1,134928.46,134928.46,134928.46,94380.27,40548.19,Completed,4
EXP-30133,2025-10-03,2025,Oct,CAR,Benguet,Post-Harvest Facilities,Rice Mill Processing Line,Farmer Association,1,1501669.35,1501669.35,1501669.35,1222481.24,279188.11,Completed,5
EXP-30134,2025-11-04,2025,Nov,CAR,Kalinga,High-Value Crops & Seeds,High-Yield Corn Seeds,Direct DA Grant,1,3265.8,3265.8,3265.8,2484.56,781.24,Pending Approval,5
EXP-30135,2025-07-12,2025,Jul,Region III,Abra,High-Value Crops & Seeds,High-Yield Corn Seeds,Direct DA Grant,1,2548.59,2548.59,2548.59,1995.02,553.57,Delivered,4
EXP-30136,2025-05-27,2025,May,CAR,Apayao,Post-Harvest Facilities,Cold Storage Module,Commercial Agri-Dealer,3,1908955.93,5726867.79,5726867.79,4264947.15,1461920.64,Pending Approval,5
EXP-30137,2025-06-08,2025,Jun,CAR,Apayao,High-Value Crops & Seeds,Fruit Tree Saplings Batch,Direct DA Grant,3,1905.87,5717.61,5145.85,3583.56,1562.29,Completed,3
EXP-30138,2025-12-10,2025,Dec,CAR,Benguet,Agricultural Machinery,Four-Wheel Tractors,Direct DA Grant,2,1029866.86,2059733.72,1956747.03,1416599.86,540147.17,Completed,5
EXP-30139,2025-10-18,2025,Oct,CAR,Abra,Agricultural Machinery,Rice Transplanters,LGU Co-op Procurement,1,267412.34,267412.34,254041.72,194864.16,59177.56,Under Review,4
EXP-30140,2025-08-09,2025,Aug,CAR,Benguet,Fertilizers & Soil Health,Soil Conditioner Granules,LGU Co-op Procurement,2,604.29,1208.58,1208.58,851.9,356.68,Delivered,4
